original,predicted,ix,wer,cer,num_tokens,num_chars,path,substitutions,insertions,deletions
परम कारुणिकः भगवान् आपस्तंबः वेदोक्तानि श्रौतानि गार्ह्याणि च कर्माणि वेदोक्तान धर्माञ्श्च साधकानां अनुजिघृक्या लोकानुजिघृक्षया विषयान् सूत्रयामास ,कारुणिकः भगवान् आपस्तम्बः वेदोक्तान् श्रुतानि कार्याणि च कर्माणि वेदोक्तान् धर्मश्च साधकान् अनुजिघृक्षया लोकान् जिघृक्षया विषयान् सूत्रम् ,137,12,22,16,131,/home/holla/data/processed/AAM-2010-07-11-0520-0003.wav,10,1,1
परम कारुणिकः भगवान् आपस्तंबः वेदोक्तानि श्रौतानि गार्ह्याणि च कर्माणि धर्माञ्श्च सूत्र रूपेण उपनिबध्य लोकानुजिघृक्षया उपदिदेष ,परम कारुणिकः भगवान् आपस्तम्बः वेदोक्तान् श्रुतानि कार्याणि च कर्माणि धर्मश्च सूत्रेण उपनिबद्धा लोकान् जिदृक्षि दिदेश ,177,10,23,15,111,/home/holla/data/processed/AAM-2010-07-11-0520-0312.wav,10,0,0
यतः बोधायनसूत्रात् आपस्तंब सूत्रं विशेषेण सड्ग्रहरूपेण छान्दसप्रयोगात् युक्तः लभ्यते ,यतः बोधायन सूत्रत आपस्तम्बः सूत्रम् विशेषेण सङ्ग्रहरूपः छान्दसः प्रयोग युक्तः लभ्यते ,955,7,14,9,76,/home/holla/data/processed/AAM-2010-07-11-0520-0017.wav,5,2,0
विशेषतः यज्ञाध्ययनं यज्ञपदार्थः तथैव ये यजसुष्टिसंवन्धः यज्ञप्रयोजनं याजिकी सामाजिकव्यवस्था यज्ञसाधनानि कानि यज्ञविभागाः के इत्येते विषयाः त्रप्रतिपाद्यन्ते ,विशेषतः यज्ञाख्यम् यज्ञ पदार्थः तथैव यज्ञ सृष्टि सम्बन्धः यज्ञ प्रयोजनम् याज्ञिकैः सामाजिक व्यवस्था यज्ञ साधनानि कानि यज्ञ विभागाः इत्येते विषयाः प्रतिपाद्यन्ते ,179,16,22,16,141,/home/holla/data/processed/ANA-2010-07-20-0216-0006.wav,11,5,0
यतः धर्म शास्त्र संशोधकेन पि वि काने महोदयेन स् उक्तं यत् तर्पणक्रमः केवलं क्रम विवक्षया उक्तः ,यतः धर्मशास्त्रेषु केन विवराणि महोदय उक्तम् यत् दर्पण क्रमः केवलम् कर्मविवक्षायाम् उक्तः ,656,13,24,16,79,/home/holla/data/processed/AAM-2010-07-11-0520-0013.wav,9,0,4
तथा एतेषां अकरणे तत्र ङा एतेषां अकरणे ऐन्द्राग्नपशु विभ्रष्टेष्टि इत्यदि प्रायश्चित्त विधानेनां एतेषां अकरणे प्रत्यवायभ प्रत्यवायोत्पत्त्यवगमात् ,तथा एतेषाम् अकरणे तत्र एतेषाम् अकरणे ऐन्द्रम् पशु विभ्रष्टः ष्टु इत्यादि प्रायश्चित्तमनेन एतेषाम् अकरणे प्रत्यवायः प्रत्यवायो तप्यम् ,665,13,29,16,129,/home/holla/data/processed/KAM-2010-07-20-0428-0033.wav,12,1,0
यस्मिन् क्षणे सूर्येण चन्द्रः सङ्गतः स् तत् तत् क्षणं तत् क्षणः तत् क्षणं तत् क्षणं दर्श इति उच्यते ,यस्मिन् क्षणे सूर्येण चन्द्रः सङ्गतः तत् तत्क्षणम् तत्क्षणे तत्क्षणम् तत्क्षणम् दर्शय इत्युच्यते ,871,12,13,18,82,/home/holla/data/processed/VAM-2010-06-22-2218-0006.wav,6,0,6
तेषु वेदेषु ये धर्माः उक्ताः तान् धर्मान् एते मन्वादयः वदन्ति इत्यतः तेपिधर्मज्ञाः इति निर्णयः ,तेषु वेदेषु ये धर्माः उक्ताः तान् धर्मान् एते मन्वादयः वदन्ति इत्यतः तेऽपि धर्म ज्ञात निर्णयः ,687,3,4,14,81,/home/holla/data/processed/AAM-2010-07-11-0520-0096.wav,2,1,0
आग्नेयः अष्टाकपालः अमावास्यायां दर्शेष्ट्यां पूर्णमास्यां पूर्णमास्येष्ट्यां च अच्युतः अव्य् च्युतिरहितः उभयत्रापि भवेत् ,अग्निः अष्टमः अमावास्याकालः दर्शयिष्यन् पौर्णमास्याम् पौर्णमास्याम् च्युतः च्युतः रहितः उभयत्रापि भवेत् ,421,10,36,12,109,/home/holla/data/processed/VAM-2010-06-22-2218-0029.wav,9,0,1
तथा सप्त हविर्यज्ञ संज्ञकाः उक्ताः तत्र अग्निहोत्र दर्शपूर्ण मास चातुर्मास्य पशुबन्ध नवाग्रयण सौत्रामणि पिण्ड पितृ यज्ञाः इति ,तथा सप्त व्यक्तसङ्ख्या उक्ताः तत्र अग्निहोत्रम् पूर्णा छात्रस्य पशुबन्धनार्हः सत्रम् पण्डित ज्ञः इति ,199,12,35,17,109,/home/holla/data/processed/KAM-2010-07-20-0428-0015.wav,8,0,4
तत्र आपस्तंब मुनेः अन्येषां सूत्रकाराणाञ्च काल विषये मतभे मतभेदाः वर्तन्ते ,तत्र आपस्तम्बः मुनेः अन्येषाम् सूत्राणाम् च कालविषयम् मतभेदाः वर्तन्ते ,500,6,13,10,65,/home/holla/data/processed/AAM-2010-07-11-0520-0005.wav,5,0,1
तत्र एतौ दर्शपूर्णमासौ प्रकृतियागौ इति श्रुत्या ब्राह्मणे श्रुत्या मन्त्रे मन्त्रब्राह्मणाभ्यां सूत्रकारैश्च निर्णीतः ,तत्र एतौ दश पूर्ण वासौ प्रकृत्या इति श्रुत्या ब्राह्मणे श्रुत्या मन्त्र मन्त्रब्राह्मणेन सूत्रकारैः निर्णयः ,29,8,18,12,106,/home/holla/data/processed/VAM-2010-06-22-2218-0020.wav,6,2,0
वेदोक्तः धर्मः मन्वादिभिः उच्यतेइति मन्वादीनां वचनमपि प्रमाणं इति एवं धर्मविषये प्रामाण्यं वरति सूत्रकारः ,वेदोक्तो धर्मः मन्वादिभिः उच्यते इति मन्वानम् वपनमपि प्रमाणम् इति एवम् धर्म विषये प्रामाण्यम् रति सूत्रकारैः ,249,12,13,13,93,/home/holla/data/processed/AAM-2010-07-11-0520-0102.wav,10,2,0
आत्मज्ञानस्य हेतुभूतानि साधनभूतानि ये अध्यात्मयोगाः तेपि धर्मशब्देन अत्र ग्ऋह्णीयुः इति अस्मन् मतम् ,आत्मज्ञानस्य हेतुः भूतानि साधनभूता ये अध्यात्मयोगः तेऽपि धर्म शब्देन अत्र गह्णीयुः इति अस्मिन् मतम् ,485,9,8,12,88,/home/holla/data/processed/AAM-2010-07-11-0520-0081.wav,7,2,0
अतः धर्मशब्देन तेपि अध्यात्मयोगाः आत्मज्ञानञ्च अत्र अर्थः भवेत् इति अस्मन् मतम् ,अतः धर्म शब्देन तेऽपि अध्यात्मयोगः आत्मज्ञानम् च अत्र अर्थः भवेत् इति यस्मिन् तम् ,369,8,6,11,69,/home/holla/data/processed/AAM-2010-07-11-0520-0076.wav,6,2,0
अनन्तरं तृतीय सूत्रं वदन् सूत्रकारः तत्र यज्ञोपवीतिना ङ् यज् ङ यज्ञोपवीतिना इति ,अनन्तरम् तत् सूत्रम् पदम् सूत्रकारैः तत्र यज्ञः यज्ञोपवीतानि इति ,548,10,26,12,68,/home/holla/data/processed/KAM-2010-07-20-0428-0098.wav,7,0,3
ज्योतिश्शास्त्रमपि वेदाङ्गत्वात् अनन्तरं शिष्टपरिग्रहत्वात् त त्वात् च अनन्तरं कत्चप सूत्रवत् आदरणीयत्वात् ज्योतिश्शास्त्रमति ज्योतिश्शास्त्रमपि अत्र प्रमाणत्वेन स्वीक्रियते ,ज्योतिः शास्त्रम् वेदान् तत्त्वात् अनन्तरम् शिष्ट परिग्रहात् वात्र त्वाम् अनन्तरम् कल्पितम् आदरणीयत्वे ज्योतिः शास्त्रम् ज्योतिः शास्त्रम् अत्र प्रमाणत्वेन स्वीक्रियते ,961,16,35,16,158,/home/holla/data/processed/KAM-2010-07-20-0428-0086.wav,13,3,0
वेदस्य तु कथं प्रामाण्यं इत्युक्ते पुरुषवक्तृत्वनिबन्धनदोषाः ये भवन्ति ते दोषाः वेदे न भवन्ति ,वेदस्य तु कथम् प्रामाण्यम् इत्युक्ते पुरुषवत् निबन्ध दोषाः ये भवन्ति ते दोषाः वेदे न भवन्ति ,784,5,10,13,81,/home/holla/data/processed/AAM-2010-07-11-0520-0098.wav,3,2,0
इत्यत्र भाष्ये समस्तस्य वेदस्य स्वरूपभूत आत्मप्रतिपादनेनैव प्रामाण्यं भवति इति प्रतिपादितम् ,इत्यत्र भाष्ये समस्तस्य वेदस्य स्वरूप तत्प्रतिपादने नैव प्रामाण्यम् भवति इति प्रतिपादितम् ,894,4,6,10,82,/home/holla/data/processed/AAM-2010-07-11-0520-0079.wav,3,1,0
स्वमूल स्व आश्रय स्वकारण वेद अनुमाने लिङ्ग भूताः लिङ्ग भूतं लिङ्ग भूतं लक्षण भूतं यत् कर्मसु प्रवर्तनं सः आचारः इत्युच्यते ,स्व मूलस्य आश्रय स्वकारणे अनुमाने लिङ् भूताः लिङ् भूतम् लिङ् भूतम् लक्षणम् यत् कर्मसु प्रवर्तनम् सः आचारः इत्युच्यते ,598,12,16,20,103,/home/holla/data/processed/KAM-2010-07-20-0428-0046.wav,10,0,2
अफ<unk>गानिस्तानस्य हेरात् प्रान्ते भारतीयवाणिज्यदूतावासमालक्ष्य अद्य प्रातः शस्त्राशस्त्रयुतैः चतुर्भिः आततायिभिः आक्रमणस्य प्रयासो विहितः किन्तु परिणामतः ते व्यापादिताः ,अङ्गानि स्थानस्य वरात् प्रान्ते भारतीय वाणिज्ये दूताः समालक्ष्य अद्य प्रातः शस्त्रास्त्रेति चतुर्भिः आत्तादिभिः आक्रमणस्य प्रयासः विहितः किन्तु परिणामतः ते व्यापारितो ,891,11,23,16,155,/home/holla/data/processed/MDV-2014-05-23-1810-0001.wav,7,4,0
अतः तेयज्ञाः नाना साधनयुक्ताः नाना साधनकाः नाना शास्त्र न्याय सहस्र निर्धार्यमाण वचन व्यक्तिकाश्च सन्ति ,अतः ते यज्ञाः नाना साधयन्तः नाना साधकः नाना शास्त्र न्याय सहस्र निर्धार्य मानवेन व्यक्ति काश्चन सन्ति ,688,8,9,14,90,/home/holla/data/processed/KAM-2010-07-20-0428-0039.wav,6,2,0
प्राप्तेषु तत्र तत्र एकतो उदगयनादि स् तत् साच् इत् सामान्य विधानं तस्य विशेष विधानेन तत्र तत्र वयं अपोद्यामहे ,प्राप्तेषु तत्र तत्र एतत् उद्यानानि तत् सामान्य विधम् तस्य विषयविशेष विधानेन तत्र तत्र वयम् अपोद्यन्ते ,931,9,26,18,92,/home/holla/data/processed/KAM-2010-07-20-0428-0075.wav,6,0,3
